index,exposure_start,exposure_end,client_start,client_end
2148,128.661245774,128.671312997,1609339385.480001,1609339385.4903414
2149,128.671480367,128.682731015,1609339385.490369,1609339385.5017726
2150,128.682893293,128.694309034,1609339385.5018039,1609339385.513126
2151,128.694440071,128.704065515,1609339385.5131483,1609339385.522986
2152,128.704199034,128.714623904,1609339385.5230393,1609339385.5343378
2153,128.71475883,128.730250015,1609339385.534362,1609339385.5485802
2154,128.730411145,128.738466274,1609339385.5486004,1609339385.5566206
2155,128.738604682,128.748840256,1609339385.556645,1609339385.5680459
2156,128.748986367,128.761312608,1609339385.568082,1609339385.5803592
2157,128.761468534,128.7716492,1609339385.5803986,1609339385.5908601
2158,128.771805552,128.782295997,1609339385.5908904,1609339385.6005406
2159,128.782430404,128.794184145,1609339385.6005738,1609339385.6129856
2160,128.794319571,128.804477219,1609339385.6130126,1609339385.6233041
2161,128.804639108,128.815798182,1609339385.62333,1609339385.6357212
2162,128.815956441,128.829003534,1609339385.6357489,1609339385.6502776
2163,128.829134071,128.837133737,1609339385.6503112,1609339385.6567872
2164,128.837265497,128.848499997,1609339385.6568124,1609339385.6675777
2165,128.848656978,128.861226071,1609339385.6676176,1609339385.6808128
2166,128.861387848,128.871387108,1609339385.6808362,1609339385.6901639
2167,128.871518904,128.882081534,1609339385.6901867,1609339385.7013683
2168,128.882217923,128.895815571,1609339385.701395,1609339385.7150147
2169,128.895987034,128.905019645,1609339385.7150376,1609339385.724337
2170,128.905174552,128.915129385,1609339385.7243607,1609339385.7344363
2171,128.915267311,128.929237774,1609339385.7344615,1609339385.7521482
2172,128.9293717,128.937801756,1609339385.7521749,1609339385.7589786
2173,128.937960219,128.949472997,1609339385.7589993,1609339385.7688725
2174,128.949632311,128.960911274,1609339385.7689073,1609339385.7802622
2175,128.961042182,128.971192034,1609339385.7802997,1609339385.7905416
2176,128.971330571,128.981166348,1609339385.7905772,1609339385.8002856
2177,128.981329311,128.994244589,1609339385.8003209,1609339385.8136182
2178,128.994410274,129.004402959,1609339385.8136532,1609339385.8232167
2179,129.004532497,129.015170163,1609339385.8232434,1609339385.8360791
2180,129.015307608,129.027787885,1609339385.836116,1609339385.8467965
2181,129.027941089,129.037788163,1609339385.8468263,1609339385.8563454
2182,129.037955645,129.048480904,1609339385.8563707,1609339385.8675008
2183,129.048615274,129.061817682,1609339385.8675332,1609339385.8805952
2184,129.061947015,129.071469682,1609339385.8806221,1609339385.8904705
2185,129.071621885,129.082172145,1609339385.8904982,1609339385.9018953
2186,129.082332182,129.09386883,1609339385.9019291,1609339385.912809
2187,129.093998145,129.103549533,1609339385.9128423,1609339385.9224432
2188,129.103681071,129.1140052,1609339385.9224699,1609339385.9355092
2189,129.11417233,129.127925293,1609339385.935542,1609339385.9480736
2190,129.128095089,129.137251052,1609339385.948103,1609339385.9563122
2191,129.137649515,129.148289311,1609339385.9563408,1609339385.967838
2192,129.148422478,129.1605907,1609339385.9678686,1609339385.9796956
2193,129.160754774,129.171463996,1609339385.9797199,1609339385.990445
2194,129.171629774,129.181599163,1609339385.9904697,1609339386.0006428
2195,129.181731108,129.193464459,1609339386.0006747,1609339386.0221996
2196,129.193595478,129.203492589,1609339386.0222259,1609339386.0361295
2197,129.203671163,129.215871552,1609339386.0361578,1609339386.0466485
2198,129.216048052,129.229403459,1609339386.0466757,1609339386.0575657
2199,129.229543293,129.239139848,1609339386.057597,1609339386.0692508
2200,129.23926207,129.247656422,1609339386.069281,1609339386.0788524
2201,129.247818645,129.262226885,1609339386.0788772,1609339386.0916352
2202,129.262382959,129.270940756,1609339386.0916615,1609339386.1025782
2203,129.2710777,129.281371219,1609339386.1026073,1609339386.1098897
2204,129.2815947,129.294386311,1609339386.1099305,1609339386.1200464
2205,129.294567422,129.304172737,1609339386.1200786,1609339386.1310303
2206,129.304321515,129.31447633,1609339386.1310556,1609339386.142219
2207,129.314618126,129.327179922,1609339386.142243,1609339386.1532714
2208,129.327309644,129.338747126,1609339386.1533117,1609339386.1597292
2209,129.338914311,129.348510922,1609339386.1597528,1609339386.1688442
2210,129.348665422,129.360288737,1609339386.1688824,1609339386.1871355
2211,129.360421496,129.369724274,1609339386.1871614,1609339386.1976995
2212,129.369862533,129.379839163,1609339386.197727,1609339386.207649
2213,129.379969181,129.3949247,1609339386.2076771,1609339386.222986
2214,129.395084459,129.403688774,1609339386.2230146,1609339386.2258186
2215,129.403818478,129.413842607,1609339386.2258434,1609339386.2353423
2216,129.4139757,129.4270837,1609339386.2353694,1609339386.257806
2217,129.427250904,129.437459904,1609339386.2578325,1609339386.280904
2218,129.437617256,129.4463862,1609339386.280976,1609339386.288346
2219,129.446515626,129.459669163,1609339386.2884068,1609339386.292966
2220,129.459800311,129.4696517,1609339386.2930412,1609339386.303935
2221,129.469827459,129.482944293,1609339386.304001,1609339386.3147218
2222,129.48356283,129.493739033,1609339386.314784,1609339386.3204646
2223,129.493878385,129.502532533,1609339386.3205564,1609339386.3311498
2224,129.502661996,129.512968848,1609339386.3312294,1609339386.3422773
2225,129.513126533,129.527727533,1609339386.3423774,1609339386.3597212
2226,129.52788033,129.5360797,1609339386.3597872,1609339386.367454
2227,129.536207792,129.546952255,1609339386.367522,1609339386.3757095
2228,129.547084311,129.56224907,1609339386.3776789,1609339386.3936687
2229,129.562402959,129.572474552,1609339386.3937356,1609339386.4136176
2230,129.572630459,129.586319755,1609339386.4137187,1609339386.4199164
2231,129.5864607,129.616930996,1609339386.4199865,1609339386.4370923
2232,129.617029848,129.623773533,1609339386.4371552,1609339386.4428406
2233,129.623851848,129.634981774,1609339386.4429076,1609339386.4693527
2234,129.635056681,129.647435255,1609339386.4694147,1609339386.482295
2235,129.6475102,129.656497329,1609339386.4823585,1609339386.4837124
2236,129.656573552,129.668259366,1609339386.4837644,1609339386.497838
2237,129.668334515,129.680686126,1609339386.4979072,1609339386.5126495
2238,129.680759792,129.689777663,1609339386.5127296,1609339386.5193624
2239,129.689851922,129.701565348,1609339386.5193958,1609339386.5346322
2240,129.701802737,129.714198218,1609339386.5346744,1609339386.5415606
2241,129.714270885,129.722868829,1609339386.5415957,1609339386.5691957
2242,129.722943903,129.734739385,1609339386.5692723,1609339386.5694547
2243,129.735009218,129.747126311,1609339386.5694954,1609339386.5762384
2244,129.747202478,129.756201978,1609339386.5763063,1609339386.5899389
2245,129.756274126,129.767272811,1609339386.5900228,1609339386.5972526
2246,129.767345274,129.781886792,1609339386.5973198,1609339386.6083696
2247,129.781961607,129.791241144,1609339386.6084394,1609339386.622179
2248,129.791342218,129.802975237,1609339386.6222692,1609339386.6306121
2249,129.803055885,129.814745126,1609339386.630683,1609339386.641176
2250,129.814836459,129.823017515,1609339386.641256,1609339386.6681912
2251,129.823114033,129.83427244,1609339386.6682591,1609339386.6788828
2252,129.834631126,129.849004811,1609339386.678952,1609339386.682257
2253,129.849101552,129.856231126,1609339386.682327,1609339386.68783
2254,129.85632607,129.868327774,1609339386.6879015,1609339386.6922681
2255,129.868447515,129.880303403,1609339386.6923556,1609339386.7015374
2256,129.880378996,129.889230274,1609339386.7016053,1609339386.7122698
2257,129.88930344,129.901071922,1609339386.7122924,1609339386.723912
2258,129.901144626,129.913670644,1609339386.7239358,1609339386.734398
2259,129.913750089,129.922513107,1609339386.734425,1609339386.7457309
2260,129.922586348,129.934317848,1609339386.745755,1609339386.752464
2261,129.934393866,129.949095644,1609339386.7524943,1609339386.7757475
2262,129.949170792,129.956606237,1609339386.7757897,1609339386.785573
2263,129.956684107,129.966894014,1609339386.7856023,1609339386.7967298
2264,129.966967737,129.980267366,1609339386.7967565,1609339386.8077505
2265,129.980346663,129.989228274,1609339386.8077745,1609339386.8188577
2266,129.989303866,130.001115551,1609339386.8189023,1609339386.8304043
2267,130.001381977,130.013589588,1609339386.8304288,1609339386.8414385
2268,130.013663385,130.0223242,1609339386.841506,1609339386.8523433
2269,130.022398663,130.034191107,1609339386.8524048,1609339386.880037
2270,130.034449737,130.048512237,1609339386.8801496,1609339386.880541
2271,130.048590774,130.055628496,1609339386.8805976,1609339386.890731
2272,130.055702422,130.066671533,1609339386.890799,1609339386.8989205
2273,130.066744014,130.079765514,1609339386.8989792,1609339386.9017024
2274,130.079843959,130.088919533,1609339386.9017699,1609339386.912321
2275,130.088993625,130.100768385,1609339386.9123893,1609339386.9235637
2276,130.100848403,130.114415625,1609339386.923648,1609339386.9344401
2277,130.114489014,130.122251422,1609339386.9345276,1609339386.941311
2278,130.122324866,130.133232829,1609339386.9413967,1609339386.953759
2279,130.133306163,130.147778848,1609339386.9538498,1609339386.9846094
2280,130.147852922,130.155429385,1609339386.9846442,1609339386.984755
2281,130.155502348,130.167260551,1609339386.9847763,1609339387.0005696
2282,130.167333662,130.180574422,1609339387.0006151,1609339387.0034227
2283,130.180649644,130.1887577,1609339387.0034764,1609339387.0221744
2284,130.188830255,130.199799551,1609339387.0222104,1609339387.0337968
2285,130.199880274,130.212891737,1609339387.0338497,1609339387.0407681
2286,130.212981588,130.221949199,1609339387.040801,1609339387.0563238
2287,130.222023366,130.233762422,1609339387.056359,1609339387.0783422
2288,130.233836718,130.246268885,1609339387.0783799,1609339387.0812044
2289,130.246346274,130.25526907,1609339387.0812318,1609339387.0853095
2290,130.255342681,130.26705544,1609339387.0853617,1609339387.0998733
2291,130.267134125,130.280833662,1609339387.0999515,1609339387.10802
2292,130.280906644,130.288662477,1609339387.1080906,1609339387.119099
2293,130.288738662,130.299586662,1609339387.1191952,1609339387.1341817
2294,130.299658959,130.312730107,1609339387.134248,1609339387.1410165
2295,130.312809033,130.321760792,1609339387.141104,1609339387.1563756
2296,130.32183444,130.333593699,1609339387.1564713,1609339387.157766
2297,130.333669329,130.34602794,1609339387.1578348,1609339387.179232
2298,130.346106514,130.35504657,1609339387.1793156,1609339387.1901839
2299,130.355118681,130.366899736,1609339387.1902392,1609339387.196573
2300,130.366973199,130.379370014,1609339387.1966379,1609339387.2071645
2301,130.379449699,130.388353107,1609339387.2072082,1609339387.2223182
2302,130.388424792,130.399399625,1609339387.2223413,1609339387.2292383
2303,130.399472977,130.412506366,1609339387.229264,1609339387.2457461
2304,130.41258057,130.421615255,1609339387.245769,1609339387.248286
2305,130.421688718,130.433405329,1609339387.2483041,1609339387.257866
2306,130.433477033,130.447247588,1609339387.2583573,1609339387.2772129
2307,130.447323107,130.456067236,1609339387.2772791,1609339387.288823
2308,130.456141403,130.466676162,1609339387.288891,1609339387.304613
2309,130.466749218,130.479144699,1609339387.304718,1609339387.3088522
2310,130.479219718,130.488195792,1609339387.308918,1609339387.323506
2311,130.488270329,130.499244162,1609339387.3235812,1609339387.3292994
2312,130.499316533,130.51574294,1609339387.3293676,1609339387.3401055
2313,130.515871384,130.52291181,1609339387.3401585,1609339387.3539872
2314,130.523038477,130.534876588,1609339387.354039,1609339387.3624947
2315,130.53505357,130.54684781,1609339387.362551,1609339387.3876843
2316,130.547006181,130.55724931,1609339387.388996,1609339387.4006026
2317,130.557385329,130.568903607,1609339387.4006376,1609339387.4029903
2318,130.569061292,130.582472644,1609339387.4030347,1609339387.4074252
2319,130.582661699,130.592042644,1609339387.407458,1609339387.4221425
2320,130.592233959,130.603065496,1609339387.4221797,1609339387.4290257
2321,130.603250255,130.618279384,1609339387.4290574,1609339387.4443338
2322,130.618482384,130.65071481,1609339387.4443781,1609339387.4888542
2323,130.650917181,130.665350607,1609339387.4888785,1609339387.5071821
2324,130.665489662,130.692496144,1609339387.5072632,1609339387.5230465
2325,130.692648051,130.701078866,1609339387.5231352,1609339387.5268552
2326,130.701232421,130.711362421,1609339387.526944,1609339387.5455601
2327,130.71150444,130.72388781,1609339387.5456333,1609339387.5530086
2328,130.724017681,130.733680366,1609339387.5530941,1609339387.5628238
2329,130.733813458,130.745196255,1609339387.562894,1609339387.5887806
2330,130.745377625,130.758657699,1609339387.5888608,1609339387.591757
2331,130.758785736,130.766696421,1609339387.5918326,1609339387.595657
2332,130.766821699,130.777200921,1609339387.595736,1609339387.6117706
2333,130.777355218,130.791754329,1609339387.6118379,1609339387.6225705
2334,130.791916255,130.800428736,1609339387.6226068,1609339387.628632
2335,130.80056157,130.811134532,1609339387.6286705,1609339387.639533
2336,130.811262162,130.824388903,1609339387.6395602,1609339387.6533084
2337,130.824547458,130.833771829,1609339387.6533325,1609339387.6635978
2338,130.833935014,130.843596384,1609339387.6636224,1609339387.67317
2339,130.844121329,130.860121995,1609339387.6731977,1609339387.691718
2340,130.86025894,130.868226144,1609339387.6917958,1609339387.6937861
2341,130.868398125,130.882021162,1609339387.6938522,1609339387.714312
2342,130.882188847,130.892238866,1609339387.714397,1609339387.716738
2343,130.892371236,130.900072292,1609339387.7168348,1609339387.7330997
2344,130.900204921,130.911225125,1609339387.7331786,1609339387.7400954
2345,130.911360162,130.924282551,1609339387.7401466,1609339387.7506793
2346,130.924442255,130.933457403,1609339387.7507305,1609339387.7618482
2347,130.933613125,130.944378699,1609339387.7618928,1609339387.7680166
2348,130.944511699,130.957497032,1609339387.7680829,1609339387.7771537
2349,130.957658069,130.967020606,1609339387.777197,1609339387.7881927
2350,130.967206403,130.976920106,1609339387.7882373,1609339387.8061066
2351,130.977072088,130.990506884,1609339387.8061569,1609339387.817039
2352,130.990639662,131.000460032,1609339387.8170805,1609339387.8283684
2353,131.000618051,131.011613903,1609339387.8284204,1609339387.8393245
2354,131.011779143,131.023636514,1609339387.8393667,1609339387.8504627
2355,131.023770255,131.032373329,1609339387.8505065,1609339387.8584998
2356,131.032569347,131.044181088,1609339387.8586967,1609339387.8710592
2357,131.044354958,131.058478273,1609339387.8711123,1609339387.922251
2358,131.058623088,131.067737773,1609339387.9222841,1609339387.929937
2359,131.06786894,131.077442014,1609339387.9299686,1609339387.930039
2360,131.07757018,131.091661273,1609339387.930054,1609339387.9464269
2361,131.091824847,131.10015131,1609339387.9464877,1609339387.9485695
2362,131.100325884,131.109937032,1609339387.9486175,1609339387.9668164
2363,131.110114088,131.12345818,1609339387.9668894,1609339387.971872
2364,131.123608773,131.13373118,1609339387.971939,1609339387.9766002
2365,131.133904643,131.145051736,1609339387.976665,1609339387.9798791
2366,131.14521718,131.156585829,1609339387.97994,1609339388.0001106
2367,131.15672044,131.167446477,1609339388.0001898,1609339388.000392
2368,131.167576995,131.177646551,1609339388.0004337,1609339388.0110886
2369,131.177821977,131.190436088,1609339388.0111616,1609339388.0220942
2370,131.190573088,131.199565254,1609339388.0221577,1609339388.0240448
2371,131.19969494,131.210550829,1609339388.0240846,1609339388.0303566
2372,131.210683254,131.224923903,1609339388.0303879,1609339388.0440648
2373,131.225077866,131.233315069,1609339388.0441065,1609339388.051989
2374,131.233459069,131.24351131,1609339388.0520327,1609339388.0624003
2375,131.243642199,131.256239588,1609339388.06244,1609339388.0747426
2376,131.256365366,131.268035421,1609339388.074784,1609339388.0895586
2377,131.268205217,131.277286958,1609339388.0896041,1609339388.0967083
2378,131.277423328,131.28955981,1609339388.09674,1609339388.1082551
2379,131.289688995,131.299100828,1609339388.1082861,1609339388.1278129
2380,131.299223273,131.310699791,1609339388.1278446,1609339388.1319687
2381,131.310856958,131.323153791,1609339388.1320043,1609339388.14161
2382,131.323291125,131.333164773,1609339388.1416416,1609339388.1516218
2383,131.333298569,131.343843791,1609339388.1516604,1609339388.1625483
2384,131.343972699,131.356600551,1609339388.1626003,1609339388.1761968
2385,131.356763032,131.366306217,1609339388.176268,1609339388.1856303
2386,131.366449884,131.376464791,1609339388.185719,1609339388.1953073
2387,131.376599847,131.391183254,1609339388.195379,1609339388.2127433
2388,131.391358699,131.399742588,1609339388.21283,1609339388.2361596
2389,131.399902328,131.410430699,1609339388.2362332,1609339388.241327
2390,131.41055968,131.423445014,1609339388.241406,1609339388.2440894
2391,131.423584532,131.432447051,1609339388.2441962,1609339388.2520058
2392,131.432621199,131.444342532,1609339388.2520783,1609339388.263511
2393,131.44450981,131.455957995,1609339388.2635922,1609339388.2749574
2394,131.456087588,131.466195347,1609339388.2750452,1609339388.2852213
2395,131.466337884,131.476925125,1609339388.2853112,1609339388.29696
2396,131.477085532,131.489608273,1609339388.2970512,1609339388.3101156
2397,131.489785254,131.499582977,1609339388.3101895,1609339388.3188744
2398,131.499716606,131.509523032,1609339388.3189514,1609339388.328639
2399,131.509651865,131.522924754,1609339388.3287604,1609339388.3454676
2400,131.523078551,131.532868032,1609339388.3455436,1609339388.3524487
2401,131.533031273,131.543927458,1609339388.3525255,1609339388.3626614
2402,131.544051717,131.557061421,1609339388.3627322,1609339388.3758144
2403,131.557190439,131.565971662,1609339388.3759007,1609339388.385373
2404,131.566151088,131.577248458,1609339388.385453,1609339388.3976045
2405,131.57741031,131.589129217,1609339388.4000285,1609339388.4081483
2406,131.589260532,131.59922768,1609339388.4082372,1609339388.4182038
2407,131.599372088,131.61027568,1609339388.4182754,1609339388.4298615
2408,131.610451773,131.622733069,1609339388.4299393,1609339388.4529696
2409,131.622860125,131.63191631,1609339388.4530256,1609339388.456477
2410,131.632040754,131.642366328,1609339388.456538,1609339388.462088
2411,131.642492532,131.656016069,1609339388.4621532,1609339388.475382
2412,131.656175199,131.666043384,1609339388.4754627,1609339388.4853146
2413,131.666172847,131.676668976,1609339388.4853857,1609339388.497481
2414,131.676803125,131.689111773,1609339388.4975257,1609339388.5080159
2415,131.689250976,131.699369087,1609339388.5080516,1609339388.518372
2416,131.699529773,131.709324495,1609339388.5184088,1609339388.5282032
2417,131.709455254,131.723407958,1609339388.5282443,1609339388.5419095
2418,131.72353718,131.732196513,1609339388.5419545,1609339388.5631952
2419,131.732318643,131.743364458,1609339388.5632381,1609339388.564517
2420,131.743547532,131.756637699,1609339388.5645504,1609339388.575368
2421,131.756769958,131.765515328,1609339388.5754156,1609339388.5842578
2422,131.76565555,131.776766532,1609339388.5843124,1609339388.5975022
2423,131.776909736,131.790519291,1609339388.5975645,1609339388.6114583
2424,131.790729995,131.801540958,1609339388.611521,1609339388.630336
2425,131.801792069,131.810530476,1609339388.6303966,1609339388.6320553
2426,131.810687273,131.827044013,1609339388.6321034,1609339388.646041
2427,131.827216161,131.857771402,1609339388.6460986,1609339388.67718
2428,131.857934828,131.866480199,1609339388.6772304,1609339388.6856863
2429,131.866652995,131.87811118,1609339388.6857324,1609339388.697218
2430,131.878275347,131.890479939,1609339388.697263,1609339388.7103696
2431,131.890682643,131.900635032,1609339388.7104144,1609339388.719794
2432,131.900834384,131.911317365,1609339388.7198384,1609339388.7302125
2433,131.911486495,131.922633513,1609339388.7302644,1609339388.7418547
2434,131.922804254,131.932656624,1609339388.7419019,1609339388.7517266
2435,131.932808921,131.942648791,1609339388.751792,1609339388.76175
2436,131.942812976,131.955504717,1609339388.7617905,1609339388.7745314
2437,131.955677773,131.965371847,1609339388.7745795,1609339388.7849512
2438,131.965505735,131.977889328,1609339388.7849972,1609339388.7964225
2439,131.978025291,131.988799161,1609339388.7964778,1609339388.8078067
2440,131.988958513,131.99893181,1609339388.8078527,1609339388.8187494
2441,131.999093569,132.009015661,1609339388.8187954,1609339388.8275633
2442,132.009149143,132.022990235,1609339388.8276134,1609339388.8415308
2443,132.023122772,132.032299754,1609339388.841578,1609339388.8510013
2444,132.032464828,132.043321013,1609339388.851045,1609339388.86215
2445,132.043503198,132.055779272,1609339388.8621929,1609339388.8743918
2446,132.055911106,132.065058235,1609339388.874438,1609339388.883732
2447,132.065204995,132.075212791,1609339388.8837726,1609339388.8938491
2448,132.075337735,132.088665884,1609339388.8938928,1609339388.9100723
2449,132.088829254,132.09832605,1609339388.9101176,1609339388.9174397
2450,132.098476698,132.109072161,1609339388.9174802,1609339388.927819
2451,132.109202347,132.121462847,1609339388.9278615,1609339388.9402375
2452,132.121598161,132.131888513,1609339388.9402828,1609339388.9507775
2453,132.132047291,132.142744754,1609339388.9508438,1609339388.9614427
2454,132.142886606,132.154787495,1609339388.9615126,1609339388.9736433
2455,132.15491818,132.164839661,1609339388.9737153,1609339388.9836745
2456,132.164993958,132.176402754,1609339388.983751,1609339388.9952157
2457,132.17656705,132.189393661,1609339388.9952736,1609339389.0101593
2458,132.189524291,132.197875698,1609339389.010203,1609339389.0178807
2459,132.19815868,132.208413643,1609339389.0179214,1609339389.02732
2460,132.208548532,132.221772069,1609339389.027392,1609339389.0408108
2461,132.221930476,132.232288828,1609339389.0408828,1609339389.0512264
2462,132.232428809,132.242375735,1609339389.051298,1609339389.060994
2463,132.242512198,132.254492958,1609339389.0610347,1609339389.0730245
2464,132.254635383,132.26499368,1609339389.073058,1609339389.0838218
2465,132.265148013,132.276173754,1609339389.0838466,1609339389.0957377
2466,132.276391846,132.288332995,1609339389.0958362,1609339389.107094
2467,132.288465087,132.297880661,1609339389.1071675,1609339389.1238832
2468,132.298265495,132.309009143,1609339389.1239572,1609339389.1289117
2469,132.309197624,132.321603106,1609339389.1289744,1609339389.1406465
2470,132.321759087,132.330777698,1609339389.1407096,1609339389.1491964
2471,132.330912735,132.341812606,1609339389.1492217,1609339389.160415
2472,132.341943846,132.356233902,1609339389.160438,1609339389.1749845
2473,132.356392495,132.365538013,1609339389.1750066,1609339389.1843362
2474,132.365697828,132.375926383,1609339389.1843636,1609339389.194612
2475,132.376060717,132.389083791,1609339389.1946409,1609339389.2076814
2476,132.389216087,132.398167569,1609339389.2077234,1609339389.216954
2477,132.398337402,132.408580476,1609339389.216987,1609339389.2273443
2478,132.408741032,132.420925439,1609339389.2273686,1609339389.239319
